age,monthly_income,category,amount,payment_method,merchant_type,days_since_last_expense,monthly_expense_count,budget_limit,amount_to_budget_ratio,income_expense_ratio,high_risk_expense
56,26745,Other,1655.19,Wallet,Utility,15,8,7356,0.225,0.0619,0
35,41029,Other,2391.19,Card,Utility,5,38,2932,0.816,0.0583,1
21,138395,Education,642.31,Card,Education,21,4,23341,0.028,0.0046,0
42,104186,Entertainment,746.82,Wallet,Online,10,12,5366,0.139,0.0072,0
31,112768,Shopping,949.92,Net Banking,Subscription,22,44,14066,0.068,0.0084,0
26,56846,Entertainment,587.1,Card,Local,16,31,5554,0.106,0.0103,0
43,90932,Healthcare,2573.03,Cash,Online,3,25,9608,0.268,0.0283,0
19,38411,Shopping,1133.56,Cash,Utility,28,53,18954,0.06,0.0295,0
37,93797,Healthcare,1691.64,UPI,Online,14,16,29052,0.058,0.018,0
45,67307,Education,887.79,Wallet,Online,0,42,2281,0.389,0.0132,0
24,149165,Food,1325.45,Wallet,Transport,21,54,25414,0.052,0.0089,0
25,37042,Other,2128.12,Card,Online,29,14,18400,0.116,0.0575,0
52,67930,Education,2197.88,Net Banking,Restaurant,28,13,11562,0.19,0.0324,0
31,112883,Other,773.12,Wallet,Online,19,41,12274,0.063,0.0068,0
34,48756,Food,1632.83,Card,Restaurant,0,7,22375,0.073,0.0335,0
53,68268,Healthcare,899.74,Card,Subscription,8,12,25990,0.035,0.0132,0
57,63901,Food,1590.47,Wallet,Online,11,37,22833,0.07,0.0249,0
21,114986,Other,1063.41,Card,Local,3,50,16458,0.065,0.0092,0
19,143386,Other,5141.0,UPI,Restaurant,27,4,20174,0.255,0.0359,1
23,20626,Entertainment,2943.13,UPI,Restaurant,21,2,21454,0.137,0.1427,1
59,27857,Bills,2262.24,Wallet,Utility,12,35,10138,0.223,0.0812,1
21,148052,Education,1409.88,Net Banking,Subscription,6,58,1879,0.75,0.0095,0
46,41431,Shopping,2998.25,UPI,Online,7,44,10175,0.295,0.0724,0
35,99976,Other,1666.38,UPI,Education,27,3,24554,0.068,0.0167,0
43,97711,Education,4817.35,Wallet,Local,12,4,10766,0.447,0.0493,0
51,41385,Entertainment,3192.52,Cash,Utility,10,38,17684,0.181,0.0771,0
27,33639,Food,1318.43,Card,Subscription,8,12,15695,0.084,0.0392,0
53,100530,Entertainment,4477.71,UPI,Restaurant,24,19,26322,0.17,0.0445,0
31,36563,Travel,1415.11,Cash,Local,23,10,11429,0.124,0.0387,0
48,130672,Travel,5327.55,Net Banking,Online,15,1,5767,0.924,0.0408,1
32,97970,Shopping,4627.33,Cash,Education,9,17,20379,0.227,0.0472,0
25,100553,Entertainment,2120.36,Wallet,Transport,10,16,29910,0.071,0.0211,0
31,97879,Healthcare,470.03,Net Banking,Transport,30,9,3757,0.125,0.0048,0
40,59859,Shopping,2010.9,Net Banking,Subscription,11,57,23442,0.086,0.0336,0
57,67098,Healthcare,709.71,Cash,Education,27,53,12569,0.056,0.0106,0
38,137413,Shopping,1087.91,Wallet,Local,30,9,1481,0.735,0.0079,0
33,15526,Travel,1150.45,UPI,Utility,13,59,11168,0.103,0.0741,0
35,83760,Shopping,704.73,Cash,Local,18,55,18972,0.037,0.0084,0
41,62837,Travel,2016.04,UPI,Education,11,9,19836,0.102,0.0321,0
43,26536,Other,992.82,Cash,Restaurant,17,12,26087,0.038,0.0374,0
42,43541,Food,1462.18,UPI,Transport,20,55,12156,0.12,0.0336,0
58,94083,Healthcare,1157.8,Cash,Subscription,16,41,27826,0.042,0.0123,0
46,49531,Entertainment,2398.0,Net Banking,Online,2,15,19010,0.126,0.0484,0
32,23712,Other,2284.19,Card,Local,0,2,21696,0.105,0.0963,1
18,119101,Other,1379.22,Net Banking,Transport,28,11,8563,0.161,0.0116,0
42,80455,Shopping,2477.17,UPI,Utility,18,11,20745,0.119,0.0308,0
24,89744,Travel,3739.6,Wallet,Subscription,28,8,22787,0.164,0.0417,0
26,144749,Education,248.64,Net Banking,Online,3,55,19475,0.013,0.0017,0
41,20109,Healthcare,1108.79,Card,Local,22,32,10165,0.109,0.0551,0
18,64268,Other,821.51,UPI,Utility,27,6,27597,0.03,0.0128,0
25,69615,Shopping,1035.39,Net Banking,Online,15,53,26241,0.039,0.0149,0
41,97503,Bills,207.13,Cash,Restaurant,30,20,20206,0.01,0.0021,0
28,100708,Food,238.83,Wallet,Transport,11,39,6937,0.034,0.0024,0
34,117471,Food,1187.39,UPI,Restaurant,20,35,25685,0.046,0.0101,0
25,98309,Education,1162.43,Net Banking,Transport,20,8,10875,0.107,0.0118,0
52,141446,Travel,4080.68,UPI,Utility,12,50,27607,0.148,0.0288,0
52,121661,Shopping,1909.75,Cash,Restaurant,16,49,3361,0.568,0.0157,0
50,21154,Healthcare,2435.69,Card,Transport,7,43,13342,0.183,0.1151,1
22,79288,Travel,12659.08,Net Banking,Subscription,12,34,18539,0.683,0.1597,1
59,66195,Food,249.51,UPI,Utility,19,57,18639,0.013,0.0038,0
56,35581,Travel,4868.28,UPI,Transport,25,53,25121,0.194,0.1368,1
58,45087,Food,1674.66,UPI,Local,4,59,26335,0.064,0.0371,0
45,84298,Travel,1260.47,Card,Transport,17,56,6727,0.187,0.015,0
24,61167,Education,1122.21,UPI,Restaurant,14,19,21522,0.052,0.0183,0
26,54499,Entertainment,2168.62,Wallet,Subscription,11,7,11924,0.182,0.0398,0
25,140816,Education,1268.44,Wallet,Online,28,31,10143,0.125,0.009,0
29,111347,Education,688.34,UPI,Online,16,18,10810,0.064,0.0062,0
51,63787,Entertainment,1153.97,Wallet,Transport,24,40,19451,0.059,0.0181,0
50,50488,Entertainment,2210.44,Net Banking,Online,14,14,27068,0.082,0.0438,0
40,89441,Other,2721.76,Wallet,Transport,1,39,15733,0.173,0.0304,0
41,37431,Other,5182.45,UPI,Subscription,5,53,13700,0.378,0.1385,1
54,76681,Shopping,1853.5,Cash,Online,16,59,20007,0.093,0.0242,0
52,137720,Healthcare,3880.33,Net Banking,Restaurant,15,36,22048,0.176,0.0282,0
57,64153,Healthcare,1501.79,Card,Restaurant,16,17,11032,0.136,0.0234,0
39,21368,Shopping,1652.3,UPI,Local,24,37,23965,0.069,0.0773,0
44,127360,Education,1591.1,Card,Transport,19,44,21791,0.073,0.0125,0
52,127755,Education,2008.09,Cash,Online,8,9,10180,0.197,0.0157,0
18,71985,Food,3041.39,Card,Restaurant,26,58,26649,0.114,0.0423,0
52,65069,Food,1229.8,UPI,Education,4,20,21846,0.056,0.0189,0
54,67326,Healthcare,856.63,UPI,Subscription,22,45,11119,0.077,0.0127,0
31,123737,Shopping,3199.72,Cash,Subscription,0,57,7650,0.418,0.0259,0
20,65861,Bills,3053.86,UPI,Education,5,28,2266,1.348,0.0464,1
18,90897,Other,4269.4,Cash,Education,23,50,4049,1.054,0.047,1
22,142118,Bills,1091.39,Cash,Local,13,20,19193,0.057,0.0077,0
43,83577,Shopping,1463.25,UPI,Subscription,16,41,29751,0.049,0.0175,0
31,24078,Food,3277.51,Wallet,Subscription,24,36,27480,0.119,0.1361,1
56,77768,Healthcare,1219.19,Cash,Online,18,53,10134,0.12,0.0157,0
44,66047,Healthcare,2647.03,UPI,Transport,0,27,29869,0.089,0.0401,0
26,86626,Food,1506.47,Wallet,Utility,0,8,2476,0.608,0.0174,0
32,72660,Bills,2160.81,Cash,Subscription,12,32,16060,0.135,0.0297,0
32,147997,Travel,677.04,Wallet,Subscription,13,1,12665,0.053,0.0046,0
43,132832,Travel,1836.97,Net Banking,Utility,26,17,24064,0.076,0.0138,0
59,145406,Food,3692.05,Net Banking,Subscription,5,57,2990,1.235,0.0254,1
30,140150,Travel,2878.7,Wallet,Online,26,9,25801,0.112,0.0205,0
49,48320,Entertainment,812.47,Cash,Online,5,20,12495,0.065,0.0168,0
56,79881,Shopping,4924.77,UPI,Utility,0,45,21265,0.232,0.0617,0
49,105827,Shopping,3549.02,Card,Restaurant,29,32,12519,0.283,0.0335,0
21,117215,Food,703.8,UPI,Subscription,13,2,22871,0.031,0.006,0
47,149461,Education,1159.88,Card,Restaurant,2,32,7925,0.146,0.0078,0
54,76550,Other,736.94,Card,Subscription,22,45,13357,0.055,0.0096,0
40,39826,Bills,2201.8,Cash,Transport,9,9,20503,0.107,0.0553,0
56,115734,Food,1121.74,Wallet,Subscription,18,30,27963,0.04,0.0097,0
32,113511,Travel,305.04,UPI,Online,18,20,22944,0.013,0.0027,0
46,26653,Bills,1647.01,Wallet,Local,18,38,9189,0.179,0.0618,0
53,96941,Education,3118.29,Net Banking,Education,27,1,4476,0.697,0.0322,0
30,48662,Travel,1863.42,Cash,Local,22,57,14705,0.127,0.0383,0
49,113818,Healthcare,2490.81,Cash,Local,3,5,1204,2.069,0.0219,1
24,110081,Other,1987.87,Net Banking,Local,19,35,5952,0.334,0.0181,0
39,51877,Entertainment,2801.25,UPI,Education,18,36,13349,0.21,0.054,0
45,126562,Travel,2110.62,Net Banking,Restaurant,9,1,6594,0.32,0.0167,0
19,87715,Entertainment,1583.59,UPI,Education,26,14,29203,0.054,0.0181,0
59,125091,Bills,1847.45,Card,Restaurant,24,9,4181,0.442,0.0148,0
23,147632,Entertainment,4369.52,Cash,Education,1,30,21022,0.208,0.0296,0
45,94148,Bills,2584.48,UPI,Education,3,24,18800,0.137,0.0275,0
45,98186,Bills,810.29,Wallet,Subscription,23,4,10066,0.08,0.0083,0
37,138629,Bills,1827.09,Wallet,Restaurant,5,50,8001,0.228,0.0132,0
47,85316,Bills,2175.33,Cash,Subscription,29,14,2345,0.928,0.0255,1
28,43380,Bills,1546.23,Net Banking,Transport,6,25,21538,0.072,0.0356,0
45,125198,Travel,306.6,Net Banking,Subscription,15,4,6913,0.044,0.0024,0
42,17356,Bills,878.58,UPI,Local,28,25,24995,0.035,0.0506,0
56,85326,Travel,1271.01,Net Banking,Utility,6,10,8490,0.15,0.0149,0
50,107447,Bills,5284.28,Cash,Utility,17,35,10128,0.522,0.0492,1
18,129994,Entertainment,2401.32,UPI,Online,19,55,13730,0.175,0.0185,0
44,35049,Healthcare,455.25,Card,Online,25,7,19974,0.023,0.013,0
30,120361,Bills,1617.47,Net Banking,Subscription,25,42,18254,0.089,0.0134,0
58,31082,Education,3944.42,Net Banking,Education,21,13,18812,0.21,0.1269,1
20,15661,Bills,1109.71,UPI,Education,18,4,2136,0.52,0.0709,0
56,17920,Bills,3357.61,Wallet,Utility,8,50,23064,0.146,0.1874,1
23,94561,Entertainment,468.72,Net Banking,Local,28,43,25167,0.019,0.005,0
25,23946,Other,99.58,Cash,Restaurant,19,57,18727,0.005,0.0042,0
44,31309,Shopping,3680.26,Net Banking,Local,9,36,25260,0.146,0.1175,1
26,70230,Entertainment,1222.41,Card,Local,12,56,29899,0.041,0.0174,0
54,126822,Education,1296.12,Net Banking,Subscription,17,14,26647,0.049,0.0102,0
50,127340,Shopping,1975.2,Wallet,Subscription,15,18,15207,0.13,0.0155,0
59,74321,Food,2345.13,Net Banking,Transport,21,8,17715,0.132,0.0316,0
41,147028,Food,151.9,UPI,Local,16,32,29516,0.005,0.001,0
32,89131,Other,1043.62,Net Banking,Education,21,27,6038,0.173,0.0117,0
49,40963,Education,1803.58,Wallet,Education,12,42,22199,0.081,0.044,0
49,116757,Entertainment,2341.58,UPI,Local,11,37,10817,0.216,0.0201,0
41,114259,Travel,802.48,Cash,Subscription,9,23,12954,0.062,0.007,0
58,54063,Education,1488.54,UPI,Subscription,0,7,15949,0.093,0.0275,0
29,129225,Healthcare,1107.06,Card,Transport,29,12,8955,0.124,0.0086,0
56,131400,Shopping,2021.06,UPI,Transport,7,25,22211,0.091,0.0154,0
19,95818,Shopping,3596.26,Cash,Online,20,3,15559,0.231,0.0375,0
20,19703,Bills,1349.52,Net Banking,Utility,21,26,16130,0.084,0.0685,0
54,87099,Food,544.83,UPI,Local,17,4,1786,0.305,0.0063,0
34,46585,Other,999.93,UPI,Education,1,42,2029,0.493,0.0215,0
19,58585,Shopping,4893.75,UPI,Local,15,36,10500,0.466,0.0835,1
19,41958,Education,881.36,UPI,Transport,11,15,7155,0.123,0.021,0
45,41017,Shopping,642.96,Cash,Transport,8,32,2377,0.27,0.0157,0
40,139677,Other,1288.92,Wallet,Online,2,29,10441,0.123,0.0092,0
54,44426,Other,1617.76,Wallet,Utility,21,10,26985,0.06,0.0364,0
49,32778,Other,1159.55,UPI,Online,25,21,27699,0.042,0.0354,0
50,57229,Education,471.09,Cash,Education,20,54,22315,0.021,0.0082,0
18,101652,Travel,2157.28,Cash,Utility,29,16,26273,0.082,0.0212,0
36,143267,Bills,2022.49,UPI,Restaurant,27,47,19362,0.104,0.0141,0
19,141503,Food,2733.87,Card,Local,3,19,13555,0.202,0.0193,0
43,99878,Shopping,1991.27,UPI,Online,25,29,27586,0.072,0.0199,0
49,72056,Education,4641.49,Card,Transport,1,52,16984,0.273,0.0644,0
23,34975,Entertainment,2874.78,UPI,Online,7,51,3587,0.801,0.0822,1
49,103397,Food,2505.92,Card,Restaurant,9,18,6328,0.396,0.0242,0
21,48142,Travel,3680.81,Card,Online,15,58,24309,0.151,0.0765,0
28,41916,Education,1908.57,UPI,Local,22,44,26995,0.071,0.0455,0
34,79324,Healthcare,1511.68,Card,Restaurant,10,57,19175,0.079,0.0191,0
55,140932,Healthcare,2140.74,Net Banking,Transport,17,16,22351,0.096,0.0152,0
41,111059,Bills,291.69,Wallet,Transport,21,1,28396,0.01,0.0026,0
22,113317,Bills,1912.82,Cash,Subscription,13,48,25180,0.076,0.0169,0
51,50046,Travel,1616.51,Card,Restaurant,7,2,17577,0.092,0.0323,0
23,116459,Travel,2300.59,Card,Subscription,22,56,22670,0.101,0.0198,0
39,60893,Bills,3364.08,Cash,Subscription,14,15,5906,0.57,0.0552,0
28,116520,Shopping,2554.55,Card,Local,16,39,11932,0.214,0.0219,0
33,140818,Shopping,1002.07,Cash,Online,20,28,3991,0.251,0.0071,0
50,76272,Education,3016.89,UPI,Transport,17,1,13858,0.218,0.0396,0
26,82649,Entertainment,4683.99,Net Banking,Transport,5,5,13854,0.338,0.0567,0
23,79674,Education,3420.26,Net Banking,Online,22,42,3892,0.879,0.0429,1
33,101475,Entertainment,588.82,Wallet,Transport,29,22,29989,0.02,0.0058,0
46,76367,Travel,2536.7,Card,Online,13,53,2768,0.916,0.0332,1
20,136750,Food,668.1,Wallet,Restaurant,22,36,6132,0.109,0.0049,0
37,133154,Education,1405.34,UPI,Local,2,46,4283,0.328,0.0106,0
53,59738,Education,2255.13,Net Banking,Local,6,13,28588,0.079,0.0378,0
36,48397,Entertainment,2058.58,UPI,Education,14,1,14979,0.137,0.0425,0
43,97189,Other,3377.6,UPI,Local,20,16,25965,0.13,0.0348,0
20,91367,Travel,4698.33,Card,Online,23,55,15887,0.296,0.0514,0
36,135585,Travel,2409.28,UPI,Education,30,41,22857,0.105,0.0178,0
37,91619,Healthcare,1327.09,Net Banking,Online,27,22,6469,0.205,0.0145,0
49,126453,Other,306.06,Wallet,Utility,15,32,9481,0.032,0.0024,0
24,34816,Entertainment,3928.3,Net Banking,Education,15,16,21532,0.182,0.1128,1
58,94530,Travel,1622.65,Card,Transport,7,51,21823,0.074,0.0172,0
50,123856,Other,1684.22,Net Banking,Transport,6,15,9350,0.18,0.0136,0
57,86635,Bills,1781.33,Cash,Utility,5,58,24908,0.072,0.0206,0
56,122803,Other,2335.73,Wallet,Utility,1,46,24741,0.094,0.019,0
35,50946,Shopping,2382.04,Cash,Local,21,52,15672,0.152,0.0468,0
57,70204,Healthcare,1421.92,Cash,Utility,12,42,17902,0.079,0.0203,0
18,30563,Bills,1611.07,Card,Online,11,53,18837,0.086,0.0527,0
28,107324,Food,1092.42,UPI,Subscription,14,12,26266,0.042,0.0102,0
45,24847,Education,1001.45,Cash,Online,26,1,28782,0.035,0.0403,0
42,41155,Healthcare,997.63,Net Banking,Education,8,53,4157,0.24,0.0242,0
40,94671,Food,1597.56,UPI,Utility,30,17,21730,0.074,0.0169,0
48,131891,Education,851.06,Net Banking,Transport,1,41,19180,0.044,0.0065,0
47,98310,Shopping,91.3,Net Banking,Online,16,55,17658,0.005,0.0009,0
59,146691,Other,1309.97,UPI,Transport,26,51,19695,0.067,0.0089,0
52,49707,Travel,621.56,UPI,Online,28,57,10072,0.062,0.0125,0
24,96537,Bills,1868.16,Net Banking,Transport,4,50,3682,0.507,0.0194,0
33,106155,Entertainment,1089.13,Card,Restaurant,10,28,13479,0.081,0.0103,0
43,15281,Bills,2355.26,Wallet,Online,21,7,8367,0.281,0.1541,1
19,147130,Shopping,672.79,Wallet,Education,18,9,15655,0.043,0.0046,0
18,91260,Food,365.4,Card,Transport,23,22,13506,0.027,0.004,0
29,79178,Entertainment,1613.97,UPI,Subscription,6,26,4829,0.334,0.0204,0
22,48997,Travel,1268.67,Net Banking,Education,1,53,23051,0.055,0.0259,0
54,134273,Shopping,575.11,Wallet,Local,15,12,3597,0.16,0.0043,0
49,147311,Entertainment,2876.3,Net Banking,Online,11,7,1904,1.511,0.0195,1
26,141945,Shopping,774.41,Card,Subscription,22,46,28877,0.027,0.0055,0
58,60272,Other,964.23,Net Banking,Local,14,47,5601,0.172,0.016,0
52,104393,Shopping,3237.28,Card,Online,30,15,1869,1.732,0.031,1
36,76212,Travel,2447.14,UPI,Subscription,0,38,22381,0.109,0.0321,0
33,135030,Healthcare,705.52,Card,Subscription,24,21,7165,0.098,0.0052,0
20,71503,Education,1355.19,Card,Education,12,14,18948,0.072,0.019,0
37,21570,Entertainment,646.26,Wallet,Restaurant,22,2,27368,0.024,0.03,0
41,83785,Other,3085.94,Net Banking,Subscription,5,8,3265,0.945,0.0368,1
50,24110,Travel,3084.59,Wallet,Restaurant,12,45,19701,0.157,0.1279,1
41,94141,Shopping,5133.44,Cash,Utility,17,55,24675,0.208,0.0545,1
28,27115,Other,6387.17,Card,Education,2,6,1216,5.253,0.2356,1
25,54062,Travel,1079.22,Cash,Transport,0,37,14350,0.075,0.02,0
53,37911,Healthcare,2767.6,Wallet,Education,14,37,20924,0.132,0.073,0
55,119061,Other,315.36,Net Banking,Local,25,57,2211,0.143,0.0026,0
57,47556,Other,1968.14,Wallet,Transport,12,33,26301,0.075,0.0414,0
37,143335,Education,2309.32,Net Banking,Transport,4,41,22251,0.104,0.0161,0
52,16969,Bills,810.0,Net Banking,Restaurant,24,6,6761,0.12,0.0477,0
42,58753,Entertainment,1027.47,UPI,Transport,12,52,16892,0.061,0.0175,0
52,136863,Education,3098.19,Card,Subscription,21,26,25673,0.121,0.0226,0
42,25225,Food,2348.16,Wallet,Restaurant,4,39,21002,0.112,0.0931,1
46,138008,Entertainment,4727.03,Net Banking,Transport,27,41,6586,0.718,0.0343,0
35,120823,Education,4385.33,Wallet,Restaurant,18,37,23267,0.188,0.0363,0
35,28669,Shopping,405.36,Wallet,Utility,20,14,26684,0.015,0.0141,0
19,139398,Entertainment,1164.12,Net Banking,Restaurant,23,37,14862,0.078,0.0084,0
52,125677,Entertainment,741.3,Cash,Online,27,8,11723,0.063,0.0059,0
33,63320,Travel,2844.19,Card,Subscription,17,39,16720,0.17,0.0449,0
58,140354,Shopping,2103.62,Card,Local,20,13,13892,0.151,0.015,0
53,103009,Food,784.52,UPI,Online,21,13,20551,0.038,0.0076,0
50,43625,Bills,889.01,UPI,Online,9,40,2746,0.324,0.0204,0
21,39089,Other,3782.65,UPI,Online,23,43,20510,0.184,0.0968,1
50,51487,Healthcare,1266.74,Card,Transport,7,28,29147,0.043,0.0246,0
31,125448,Education,267.33,Cash,Restaurant,14,58,3322,0.08,0.0021,0
38,65138,Travel,727.3,Card,Restaurant,20,18,25167,0.029,0.0112,0
37,69061,Education,5346.78,Card,Education,24,57,17734,0.301,0.0774,1
25,116376,Food,3298.22,Card,Transport,19,19,17991,0.183,0.0283,0
24,94134,Other,611.14,Card,Subscription,27,38,17183,0.036,0.0065,0
20,62055,Food,1967.52,Cash,Transport,24,32,24986,0.079,0.0317,0
34,34508,Entertainment,3167.33,UPI,Transport,26,22,27419,0.116,0.0918,1
50,125169,Healthcare,400.16,Wallet,Transport,22,2,10169,0.039,0.0032,0
29,23125,Food,3397.07,UPI,Subscription,21,13,22284,0.152,0.1469,1
39,51059,Education,2333.17,UPI,Education,3,23,1582,1.475,0.0457,1
39,118409,Shopping,980.13,Wallet,Subscription,1,25,11648,0.084,0.0083,0
47,20704,Shopping,2586.3,Card,Utility,23,28,27994,0.092,0.1249,1
55,126279,Entertainment,2123.94,Cash,Education,5,58,8667,0.245,0.0168,0
55,133516,Bills,2223.79,Cash,Utility,27,11,10057,0.221,0.0167,0
25,129044,Education,1918.75,UPI,Utility,30,33,19684,0.097,0.0149,0
44,44165,Education,862.81,Wallet,Utility,2,24,12228,0.071,0.0195,0
44,82203,Food,997.59,Net Banking,Restaurant,6,2,4451,0.224,0.0121,0
51,19114,Healthcare,1453.89,Card,Online,9,30,15177,0.096,0.0761,0
38,51321,Education,1787.2,UPI,Online,22,17,16469,0.109,0.0348,0
47,88297,Travel,2688.24,Cash,Utility,5,40,27185,0.099,0.0304,0
50,111652,Bills,5425.96,Wallet,Utility,15,34,9467,0.573,0.0486,1
45,114304,Food,2030.97,Wallet,Local,1,38,7268,0.279,0.0178,0
50,32772,Travel,2656.92,UPI,Online,23,22,18336,0.145,0.0811,1
22,118754,Entertainment,3063.58,Net Banking,Local,16,5,18565,0.165,0.0258,0
36,18712,Shopping,2781.89,Cash,Education,12,48,14539,0.191,0.1487,1
21,147439,Entertainment,836.42,UPI,Local,0,40,2803,0.298,0.0057,0
52,130142,Shopping,4008.62,Net Banking,Transport,5,51,15663,0.256,0.0308,0
34,106736,Entertainment,3618.82,Wallet,Restaurant,4,16,7657,0.473,0.0339,0
45,66924,Education,1900.61,Card,Education,24,13,18735,0.101,0.0284,0
47,18726,Travel,877.57,Cash,Subscription,12,26,18781,0.047,0.0469,0
46,104152,Shopping,1767.2,Cash,Online,27,31,16629,0.106,0.017,0
23,42723,Food,448.52,Net Banking,Utility,22,52,22709,0.02,0.0105,0
52,141969,Travel,4339.64,UPI,Education,17,39,28494,0.152,0.0306,0
58,115494,Food,1070.3,Wallet,Utility,28,48,28673,0.037,0.0093,0
54,50643,Travel,1400.12,Net Banking,Subscription,11,23,10019,0.14,0.0276,0
41,118896,Travel,4147.58,Card,Education,6,48,25690,0.161,0.0349,0
46,108680,Entertainment,3840.19,Card,Online,14,12,744,5.162,0.0353,1
48,111546,Shopping,2180.87,Card,Education,2,14,9448,0.231,0.0196,0
52,94973,Shopping,4749.38,Net Banking,Utility,15,56,9515,0.499,0.05,0
50,78449,Healthcare,814.95,Wallet,Utility,0,18,11519,0.071,0.0104,0
38,124834,Travel,2181.63,Cash,Transport,26,27,20691,0.105,0.0175,0
49,40537,Education,820.48,UPI,Local,15,28,3279,0.25,0.0202,0
40,92576,Education,3479.7,Cash,Education,23,18,18730,0.186,0.0376,0
50,122522,Food,3402.22,Wallet,Utility,29,16,14223,0.239,0.0278,0
20,37612,Food,4959.43,Cash,Restaurant,11,52,23905,0.207,0.1319,1
35,21471,Entertainment,1729.61,Net Banking,Online,18,16,26316,0.066,0.0806,1
42,46348,Travel,5822.02,Card,Restaurant,26,13,13303,0.438,0.1256,1
59,16177,Food,765.64,Wallet,Subscription,7,58,17357,0.044,0.0473,0
48,47779,Food,1664.58,Wallet,Education,22,29,21015,0.079,0.0348,0
20,36636,Bills,788.48,Cash,Transport,11,9,28325,0.028,0.0215,0
57,96889,Travel,1982.89,Net Banking,Online,14,26,14198,0.14,0.0205,0
41,68551,Other,845.5,Cash,Transport,1,28,2292,0.369,0.0123,0
49,61819,Entertainment,3485.75,Cash,Local,28,41,15876,0.22,0.0564,0
39,88770,Food,2384.64,Wallet,Utility,29,13,18618,0.128,0.0269,0
40,93714,Entertainment,713.1,Cash,Online,29,36,13617,0.052,0.0076,0
19,39596,Shopping,2979.67,Card,Subscription,16,9,7715,0.386,0.0753,0
44,79106,Entertainment,4541.24,Cash,Education,6,47,24113,0.188,0.0574,0
59,74182,Other,2539.38,Card,Local,12,14,5688,0.446,0.0342,0
19,102163,Education,548.02,Wallet,Local,0,51,16518,0.033,0.0054,0
43,54310,Other,1553.4,Net Banking,Transport,5,12,29018,0.054,0.0286,0
34,71088,Education,2756.37,Card,Local,12,53,15201,0.181,0.0388,0
57,143803,Entertainment,1448.91,Net Banking,Online,10,58,5781,0.251,0.0101,0
50,51914,Education,757.59,Net Banking,Transport,9,57,22742,0.033,0.0146,0
26,125350,Shopping,3741.72,Card,Local,15,32,1444,2.591,0.0299,1
56,60379,Travel,1404.01,Wallet,Education,26,38,2011,0.698,0.0233,0
